SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
34486,71,252,2,1,273,3,3,5,2,1,0,1,2,1,3,1,1,,1,1,1,71,967128
34486,71,252,2,1,273,3,3,5,2,1,0,2,2,5,5,1,1,,1,1,1,71,967129
34486,71,252,2,1,273,3,3,5,2,1,0,2,3,1,1,1,1,,1,1,1,71,967130
34486,71,252,2,1,273,3,3,5,2,1,0,2,2,1,1,1,1,,1,1,1,71,967131
34390,71,252,2,1,273,20,20,2,1,2,0,1,3,1,1,1,1,,1,1,1,71,967140
34390,71,252,2,1,273,20,20,2,1,2,0,2,2,2,1,1,1,,1,1,1,71,967141
34479,71,252,2,1,273,2,2,3,2,2,0,2,3,1,1,1,1,,1,1,1,71,967153
34304,71,252,2,1,273,1,1,2,1,2,0,1,3,1,1,1,1,,1,1,1,71,967154
34304,71,252,2,1,273,1,1,2,1,2,0,1,2,1,2,1,1,,1,1,1,71,967156
34304,71,252,2,1,273,1,1,2,1,2,0,1,2,2,1,1,1,,1,1,1,71,967157
